ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
531.25,-188.83,678.5,,788.12,-28.43,1723.15,2506.65,276.25,-254.98,788.19,-28.46,0,601.68,52.7699,36.1385,29.6318,389.9,343.03,2.118035498,2.118035498,4.65,20.35,18.94,90.37,1.75,,0
531.81,-89.3,629.25,,783.75,-29.6,671.38,1715.44,411.25,-75.14,481.31,-46.96,23.81,719.45,53.7648,39.2633,25.68,223.3,278.22,1.817397325,1.817397325,4.67,20.1,19.44,97.98,1.56,,0
1341.62,-108.29,838.5,,2070.62,-37.41,867.62,2737.5,2070.62,-37.41,1232.38,-86.62,5.56,797.35,37.7717,23.3221,9.61343,113.15,77.88,0.763994025,0.763994025,5.36,24.5,21.64,84.58,1.56,,1
1780.06,-37.04,767.38,,2827.5,0,747.75,1921.25,2827.5,-0.03,1702.31,-33.87,30.88,822.54,37.3982,20.2534,9.76878,89.87,68.39,0.935310704,0.935310704,5.83,25.53,22.25,81.3,1.52,,1
1767.69,-38.23,666,,2533.5,-0.39,655.25,2271.88,1915.38,-20.64,1708.56,-30.42,16.28,901.84,38.9181,16.6316,15.6207,105.82,121.45,1.857632639,1.857632639,5.32,24.65,21.21,85.87,1.56,,1
1036.12,-84.26,1537.12,,1976.62,-34.25,1263.5,2112.49,1976.62,-34.25,1338.88,-85.2,35.74,705.22,68.2177,45.5656,30.2548,351.93,290.95,1.586509428,1.586509428,8.05,24.44,14.93,57.24,1.02,,0
968.25,-194.03,1170.5,,1424.88,-125.58,1068.25,2414.45,1424.88,-125.57,1092,-142.52,15.36,712.14,61.3247,41.0614,21.9968,376.14,255.98,2.101329283,2.101329283,6.6,21.34,15.97,73.75,1.08,,1
1140.31,-156.34,1265.75,,1629.5,-102.37,1252.75,2368.95,1629.5,-102.39,1141.06,-128.77,26.73,786.73,66.6552,46.3498,23.2115,383.38,244.09,2.270385795,2.270385795,7.29,22.7,15.69,65.52,1.09,,1
812.12,-148.74,1538.25,,1420,-87.16,1460.59,2513.96,1420,-87.16,800.69,-138.05,15.7,1066.71,70.1215,53.5825,22.8934,525.62,287.47,1.259852164,1.259852164,7.49,24.24,15.2,59.42,1.09,,1
689.94,-202.43,1547.62,,1575.44,-94.9,1317.59,2639.59,1575.44,-94.91,808.94,-166.34,4.28,990.71,66.1035,53.7916,24.4735,570.58,329.08,1.131590815,1.131590815,7.07,23.54,16.23,64.36,1.12,,2
